category,name,description,endpoint,docs_link,,,,,,,,,,,,,,,,,,,,
addresses,accumulation_balance,Accum addr total balance,/v1/metrics/addresses/accumulation_balance,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-accumulation_balance,,,,,,,,,,,,,,,,,,,,
addresses,accumulation_count,Accum addr count,/v1/metrics/addresses/accumulation_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-accumulation_count,,,,,,,,,,,,,,,,,,,,
addresses,active_count,Daily active addresses,/v1/metrics/addresses/active_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-active_count,,,,,,,,,,,,,,,,,,,,
addresses,activity_retention,Addr activity retention,/v1/metrics/addresses/activity_retention,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-activity_retention,,,,,,,,,,,,,,,,,,,,
addresses,activity_retention_rate,Addr activity retention rate,/v1/metrics/addresses/activity_retention_rate,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-activity_retention_rate,,,,,,,,,,,,,,,,,,,,
addresses,count,Total address count,/v1/metrics/addresses/count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-count,,,,,,,,,,,,,,,,,,,,
addresses,holder_accumulation_ratio,Holder accum ratio,/v1/metrics/addresses/holder_accumulation_ratio,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-holder_accumulation_ratio,,,,,,,,,,,,,,,,,,,,
addresses,holder_retention,Holder retention count,/v1/metrics/addresses/holder_retention,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-holder_retention,,,,,,,,,,,,,,,,,,,,
addresses,holder_retention_rate,Holder retention rate,/v1/metrics/addresses/holder_retention_rate,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-holder_retention_rate,,,,,,,,,,,,,,,,,,,,
addresses,loss_count,Addresses in loss,/v1/metrics/addresses/loss_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-loss_count,,,,,,,,,,,,,,,,,,,,
addresses,min_100_count,Addr w/ >= 100 BTC,/v1/metrics/addresses/min_100_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_100_count,,,,,,,,,,,,,,,,,,,,
addresses,min_100_usd_count,Addr w/ >= $100,/v1/metrics/addresses/min_100_usd_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_100_usd_count,,,,,,,,,,,,,,,,,,,,
addresses,min_100k_usd_count,Addr w/ >= $100K,/v1/metrics/addresses/min_100k_usd_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_100k_usd_count,,,,,,,,,,,,,,,,,,,,
addresses,min_10_count,Addr w/ >= 10 BTC,/v1/metrics/addresses/min_10_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_10_count,,,,,,,,,,,,,,,,,,,,
addresses,min_10_usd_count,Addr w/ >= $10,/v1/metrics/addresses/min_10_usd_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_10_usd_count,,,,,,,,,,,,,,,,,,,,
addresses,min_10k_count,Addr w/ >= 10K BTC,/v1/metrics/addresses/min_10k_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_10k_count,,,,,,,,,,,,,,,,,,,,
addresses,min_10k_usd_count,Addr w/ >= $10K,/v1/metrics/addresses/min_10k_usd_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-min_10k_usd_count,,,,,,,,,,,,,,,,,,,,
